"No","Kode Kemendagri","Kabupaten","Provinsi","Ibu Kota","Kecamatan","Kecamatan/Desa"
"026.","19.03","Kabupaten Bangka Selatan","Kepulauan Bangka Belitung","Toboali","08","053"
"027.","19.04","Kabupaten Bangka Tengah","Kepulauan Bangka Belitung","Koba","06","063"
"028.","35.26","Kabupaten Bangkalan","Jawa Timur","Bangkalan","18","281"
"029.","51.06","Kabupaten Bangli","Bali","Bangli","04","072"
"030.","63.03","Kabupaten Banjar","Kalimantan Selatan","Martapura","20","290"
"031.","33.04","Kabupaten Banjarnegara","Jawa Tengah","Banjarnegara","20","278"
"032.","73.03","Kabupaten Bantaeng","Sulawesi Selatan","Bantaeng","08","067"
"033.","34.02","Kabupaten Bantul","Daerah Istimewa Yogyakarta","Bantul","17","075"
"034.","16.07","Kabupaten Banyuasin","Sumatra Selatan","Kota Pangkalan Balai","19","304"
"035.","33.02","Kabupaten Banyumas","Jawa Tengah","Kota Purwokerto","27","331"
"036.","35.10","Kabupaten Banyuwangi","Jawa Timur","Banyuwangi","25","217"
"037.","63.04","Kabupaten Barito Kuala","Kalimantan Selatan","Marabahan","17","201"
"038.","62.04","Kabupaten Barito Selatan","Kalimantan Tengah","Buntok","06","093"
"039.","62.13","Kabupaten Barito Timur","Kalimantan Tengah","Tamiang","10","103"
"040.","62.05","Kabupaten Barito Utara","Kalimantan Tengah","Muara Teweh","09","103"
"041.","73.11","Kabupaten Barru","Sulawesi Selatan","Barru","07","055"
"042.","33.25","Kabupaten Batang","Jawa Tengah","Batang","15","248"
"043.","15.04","Kabupaten Batanghari","Jambi","Muara Bulian","08","124"
"044.","12.19","Kabupaten Batu Bara","Sumatra Utara","Limapuluh","07","151"
"045.","32.16","Kabupaten Bekasi","Jawa Barat","Cikarang","23","187"
"046.","19.02","Kabupaten Belitung","Kepulauan Bangka Belitung","Tanjungpandan","05","049"
"047.","19.06","Kabupaten Belitung Timur","Kepulauan Bangka Belitung","Manggar","07","039"
"048.","53.04","Kabupaten Belu","Nusa Tenggara Timur","Atambua","12","081"
"049.","11.17","Kabupaten Bener Meriah","Aceh","Simpang Tiga Redelong","10","232"
"050.","14.03","Kabupaten Bengkalis","Riau","Bengkalis","11","155"
"051.","61.07","Kabupaten Bengkayang","Kalimantan Barat","Bengkayang","17","124"
"052.","17.01","Kabupaten Bengkulu Selatan","Bengkulu","Kota Manna","11","158"
"053.","17.09","Kabupaten Bengkulu Tengah","Bengkulu","Karang Tinggi","10","143"
"054.","17.03","Kabupaten Bengkulu Utara","Bengkulu","Kota Arga Makmur","19","220"
"055.","64.03","Kabupaten Berau","Kalimantan Timur","Tanjungredep","13","110"
"056.","91.06","Kabupaten Biak Numfor","Papua","Biak","19","268"
"057.","52.06","Kabupaten Bima","Nusa Tenggara Barat","Raba","18","191"
"058.","21.01","Kabupaten Bintan","Kepulauan Riau","Teluk Bintan","10","051"
"059.","11.11","Kabupaten Bireuen","Aceh","Bireuen","17","609"
"060.","35.05","Kabupaten Blitar","Jawa Timur","Kanigoro","22","248"
"061.","33.16","Kabupaten Blora","Jawa Tengah","Blora","16","295"
"062.","75.02","Kabupaten Boalemo","Gorontalo","Tilamuta","07","082"
"063.","32.01","Kabupaten Bogor","Jawa Barat","Cibinong","40","435"
"064.","35.22","Kabupaten Bojonegoro","Jawa Timur","Bojonegoro","28","430"
"065.","71.01","Kabupaten Bolaang Mongondow","Sulawesi Utara","Lolak","15","202"
"066.","71.11","Kabupaten Bolaang Mongondow Selatan","Sulawesi Utara","Bolaang Uki","07","081"
"067.","71.10","Kabupaten Bolaang Mongondow Timur","Sulawesi Utara","Tutuyan","07","081"
"068.","71.08","Kabupaten Bolaang Mongondow Utara","Sulawesi Utara","Boroko","06","107"
"069.","74.06","Kabupaten Bombana","Sulawesi Tenggara","Rumbia","22","143"
"070.","35.11","Kabupaten Bondowoso","Jawa Timur","Bondowoso","23","219"
"071.","73.08","Kabupaten Bone","Sulawesi Selatan","Watampone","27","372"
"072.","75.03","Kabupaten Bone Bolango","Gorontalo","Suwawa","18","165"
"073.","91.16","Kabupaten Boven Digoel","Papua Selatan","Tanah Merah","20","112"
"074.","33.09","Kabupaten Boyolali","Jawa Tengah","Boyolali","19","267"
"075.","33.29","Kabupaten Brebes","Jawa Tengah","Brebes","17","297"
"076.","51.08","Kabupaten Buleleng","Bali","Singaraja","09","148"
"077.","73.02","Kabupaten Bulukumba","Sulawesi Selatan","Bulukumba","10","136"
"078.","65.01","Kabupaten Bulungan","Kalimantan Utara","Tanjungselor","10","081"
"079.","15.08","Kabupaten Bungo","Jambi","Muara Bungo","17","153"
"080.","72.05","Kabupaten Buol","Sulawesi Tengah","Buol","11","115"
"081.","81.04","Kabupaten Buru","Maluku","Namlea","10","082"
"082.","81.09","Kabupaten Buru Selatan","Maluku","Namrole","06","079"
"083.","74.04","Kabupaten Buton","Sulawesi Tenggara","Pasarwajo","07","095"
"084.","74.15","Kabupaten Buton Selatan","Sulawesi Tenggara","Batauga","07","070"
"085.","74.14","Kabupaten Buton Tengah","Sulawesi Tenggara","Labungkari","07","077"
"086.","74.10","Kabupaten Buton Utara","Sulawesi Tenggara","Buranga","06","090"
"087.","32.07","Kabupaten Ciamis","Jawa Barat","Ciamis","27","265"
"088.","32.03","Kabupaten Cianjur","Jawa Barat","Cianjur","32","361"
"089.","33.01","Kabupaten Cilacap","Jawa Tengah","Cilacap","24","284"
"090.","32.09","Kabupaten Cirebon","Jawa Barat","Sumber","40","424"
"091.","12.11","Kabupaten Dairi","Sumatra Utara","Sidikalang","15","169"
"092.","91.28","Kabupaten Deiyai","Papua Tengah","Tigi","05","067"
"093.","12.07","Kabupaten Deli Serdang","Sumatra Utara","Lubuk Pakam","22","394"
"094.","33.21","Kabupaten Demak","Jawa Tengah","Demak","14","249"
"095.","13.10","Kabupaten Dharmasraya","Sumatra Barat","Pulau Punjung","11","052"
"096.","91.26","Kabupaten Dogiyai","Papua Tengah","Kigamani","10","079"
"097.","52.05","Kabupaten Dompu","Nusa Tenggara Barat","Dompu","08","081"
"098.","72.03","Kabupaten Donggala","Sulawesi Tengah","Banawa","16","167"
"099.","16.11","Kabupaten Empat Lawang","Sumatra Selatan","Tebing Tinggi","10","156"
"100.","53.08","Kabupaten Ende","Nusa Tenggara Timur","Ende","21","278"
"101.","73.16","Kabupaten Enrekang","Sulawesi Selatan","Enrekang","12","129"
"102.","92.03","Kabupaten Fakfak","Papua Barat","Fakfak","17","149"
"103.","53.06","Kabupaten Flores Timur","Nusa Tenggara Timur","Larantuka","19","250"
"104.","32.05","Kabupaten Garut","Jawa Barat","Garut","42","441"
"105.","11.13","Kabupaten Gayo Lues","Aceh","Blang Kejeren","11","136"
"106.","51.04","Kabupaten Gianyar","Bali","Gianyar","07","070"
"107.","75.01","Kabupaten Gorontalo","Gorontalo","Gorontalo","19","205"
"108.","75.05","Kabupaten Gorontalo Utara","Gorontalo","Kwandang","11","123"
"109.","73.06","Kabupaten Gowa","Sulawesi Selatan","Sungguminasa","18","167"
"110.","35.25","Kabupaten Gresik","Jawa Timur","Gresik","18","356"
"111.","33.15","Kabupaten Grobogan","Jawa Tengah","Purwodadi","19","280"
"112.","34.03","Kabupaten Gunungkidul","Daerah Istimewa Yogyakarta","Wonosari","18","144"
"113.","62.10","Kabupaten Gunung Mas","Kalimantan Tengah","Kuala Kurun","12","127"
"114.","82.01","Kabupaten Halmahera Barat","Maluku Utara","Jailolo","08","169"
